,term,score_date,score_value
49659,a flu,2019-01-20,283.60997553245073
49660,a flu,2019-01-21,362.8845510556028
49661,a flu,2019-01-22,312.8475384627864
49662,a flu,2019-01-23,287.7537785247206
49663,a flu,2019-01-24,469.0310289023016
49664,a flu,2019-01-25,297.2041840959316
49665,a flu,2019-01-26,357.0150394548705
49666,a flu,2019-01-27,315.74430197817725
49667,a flu,2019-01-28,350.35529196071445
49668,a flu,2019-01-29,263.5326629459996
49669,a flu,2019-01-30,323.1918076561453
49670,a flu,2019-01-31,306.9501217930012
49671,a flu,2019-02-01,342.0727591614234
53992,a flu,2019-02-02,309.7761617592697
53993,a flu,2019-02-03,338.56054417861566
53994,a flu,2019-02-04,261.6033161953751
53995,a flu,2019-02-05,325.28716495926056
54536,a flu,2017-01-01,196.66486481887907
54537,a flu,2017-01-02,138.9931534551701
54538,a flu,2017-01-03,233.9500182575645
54539,a flu,2017-01-04,277.93496015686856
54540,a flu,2017-01-05,233.5157382180452
54541,a flu,2017-01-06,241.66750826298215
54542,a flu,2017-01-07,296.7621949984511
54543,a flu,2017-01-08,166.58443155451118
54544,a flu,2017-01-09,255.2949896114618
54545,a flu,2017-01-10,284.4956261814101
54546,a flu,2017-01-11,263.89139560731525
54547,a flu,2017-01-12,201.18498677407135
54548,a flu,2017-01-13,231.91686821519727
54549,a flu,2017-01-14,265.7047634528502
54550,a flu,2017-01-15,95.2723305651492
54551,a flu,2017-01-16,188.92724967312049
54552,a flu,2017-01-17,273.54522312697173
54553,a flu,2017-01-18,230.8007529643133
54554,a flu,2017-01-19,178.07316526216633
54555,a flu,2017-01-20,163.70124111547514
54556,a flu,2017-01-21,185.6093537786925
54557,a flu,2017-01-22,247.03477077030743
54558,a flu,2017-01-23,254.2900445666812
54559,a flu,2017-01-24,202.7851391323008
54560,a flu,2017-01-25,238.4347145245723
54561,a flu,2017-01-26,165.44971440061718
54562,a flu,2017-01-27,193.36276196452235
54563,a flu,2017-01-28,225.03117856587
54564,a flu,2017-01-29,242.35925085757168
54565,a flu,2017-01-30,292.0331462141829
54566,a flu,2017-01-31,302.504849818402
54567,a flu,2017-02-01,296.3486737380914
54568,a flu,2017-02-02,219.6512159085142
54569,a flu,2017-02-03,266.9552495035469
54570,a flu,2017-02-04,175.85649196985162
54571,a flu,2017-02-05,276.32720753984137
54572,a flu,2017-02-06,179.31273380221592
54573,a flu,2017-02-07,157.39308894527318
54574,a flu,2017-02-08,275.5737815963161
54575,a flu,2017-02-09,160.77372942811687
54576,a flu,2017-02-10,175.50926511631593
54577,a flu,2017-02-11,133.60352586438967
54578,a flu,2017-02-12,221.1588306929586
54579,a flu,2017-02-13,183.00455249703745
54580,a flu,2017-02-14,152.64478501547208
54581,a flu,2017-02-15,102.83115896130772
54582,a flu,2017-02-16,196.44442442061376
54583,a flu,2017-02-17,148.16168675801157
54584,a flu,2017-02-18,157.72881020098365
54585,a flu,2017-02-19,90.85816639803284
54586,a flu,2017-02-20,216.87441761850425
54587,a flu,2017-02-21,144.79419701907534
54588,a flu,2017-02-22,170.4554831445082
54589,a flu,2017-02-23,135.86578613582802
54590,a flu,2017-02-24,67.52038348900466
54591,a flu,2017-02-25,110.71267222895648
54592,a flu,2017-02-26,143.39269960156113
54593,a flu,2017-02-27,162.314870387958
54594,a flu,2017-02-28,88.49560979614627
54595,a flu,2017-03-01,140.0805372797369
54596,a flu,2017-03-02,144.71454694874922
54597,a flu,2017-03-03,130.59686672295177
54598,a flu,2017-03-04,39.65242886641448
54599,a flu,2017-03-05,112.5910889257286
54600,a flu,2017-03-06,155.11664021844078
54601,a flu,2017-03-07,122.34937040589834
54602,a flu,2017-03-08,116.6886327500992
56144,a flu,2017-03-09,129.08046171535153
56145,a flu,2017-03-10,142.35747915715237
56146,a flu,2017-03-11,165.57754696033828
56147,a flu,2017-03-12,103.56693862200008
56148,a flu,2017-03-13,143.88458699651278
56149,a flu,2017-03-14,109.75088544158304
56150,a flu,2017-03-15,47.04424966327567
56151,a flu,2017-03-16,129.42470136101312
56152,a flu,2017-03-17,104.76001647581062
56153,a flu,2017-03-18,70.90402903771512
56154,a flu,2017-03-19,78.0402701852623
56155,a flu,2017-03-20,106.37829979254232
56156,a flu,2017-03-21,164.17044547687254
56157,a flu,2017-03-22,70.34326556531722
56158,a flu,2017-03-23,56.562585393015056
56159,a flu,2017-03-24,77.84666118985756
56160,a flu,2017-03-25,157.19394487205918
56161,a flu,2017-03-26,131.68688070415587
56162,a flu,2017-03-27,103.3174534691562
56163,a flu,2017-03-28,168.86777975180829
56164,a flu,2017-03-29,147.4819147030963
56165,a flu,2017-03-30,131.97266314074122
56166,a flu,2017-03-31,97.0511599930566
56167,a flu,2017-04-01,62.74813063465354
56168,a flu,2017-04-02,107.4644557773811
56169,a flu,2017-04-03,131.08069224335782
56170,a flu,2017-04-04,55.63216466514678
56171,a flu,2017-04-05,84.31154732023292
56172,a flu,2017-04-06,67.24772581445991
56173,a flu,2017-04-07,110.21126487752062
56174,a flu,2017-04-08,66.60991399731567
56175,a flu,2017-04-09,113.92982896948782
56176,a flu,2017-04-10,83.97377956255396
56177,a flu,2017-04-11,142.3673095992968
56178,a flu,2017-04-12,104.0755347721828
56179,a flu,2017-04-13,78.28223737454454
56180,a flu,2017-04-14,51.52763113214905
56181,a flu,2017-04-15,77.14298552076954
56182,a flu,2017-04-16,126.80170442677864
56183,a flu,2017-04-17,49.274597208923495
56184,a flu,2017-04-18,46.43643144041741
56185,a flu,2017-04-19,112.7979148353007
56186,a flu,2017-04-20,46.56680289104523
56187,a flu,2017-04-21,103.7679141209466
56188,a flu,2017-04-22,95.74216515319696
56189,a flu,2017-04-23,142.8356185757399
